imp,feat,tcr
0.00041611500083705454,orig_ami$chem$class_Hydroxylic,OT1
0.0,orig_ami$chem$class_Sulfuric,OT1
0.000522050510472725,orig_ami$chem$polarity_Acidic polar,OT1
0.00024839307544284307,orig_ami$chem$polarity_Basic polar,OT1
0.008432598869705713,orig_ami$chem$polarity_Nonpolar,OT1
0.001524321023325879,orig_ami$chem$polarity_Polar,OT1
0.00030615656208927153,orig_ami$chem$charge_Negative,OT1
0.0006871736489760547,orig_ami$chem$charge_Neutral,OT1
0.00015646809891256018,orig_ami$chem$charge_Positive,OT1
0.0,"orig_ami$chem$charge_Positive, 10% Neutral, 90%",OT1
0.0,orig_ami$one_hot$is_A,OT1
0.0,orig_ami$one_hot$is_C,OT1
0.0,orig_ami$one_hot$is_D,OT1
0.000277638804056812,orig_ami$one_hot$is_E,OT1
3.8148215606082936e-05,orig_ami$one_hot$is_F,OT1
0.0,orig_ami$one_hot$is_G,OT1
0.0,orig_ami$one_hot$is_H,OT1
0.0002195405871376391,orig_ami$one_hot$is_I,OT1
0.00024319798206245323,orig_ami$one_hot$is_K,OT1
0.0001045132692696335,orig_ami$one_hot$is_L,OT1
0.0,orig_ami$one_hot$is_M,OT1
0.002068931638166915,orig_ami$one_hot$is_N,OT1
0.0,orig_ami$one_hot$is_P,OT1
0.0,orig_ami$one_hot$is_Q,OT1
0.0,orig_ami$one_hot$is_R,OT1
0.0003654661938331269,orig_ami$one_hot$is_S,OT1
0.0,orig_ami$one_hot$is_T,OT1
0.0,orig_ami$one_hot$is_V,OT1
0.0,orig_ami$one_hot$is_W,OT1
0.0,orig_ami$one_hot$is_Y,OT1
0.0006764248978064993,epi_0$factors2$factor0,OT1
0.0006734687780497272,epi_0$factors2$factor1,OT1
0.0005151389032066425,epi_0$factors2$factor2,OT1
0.0005299702232354346,epi_0$factors2$factor3,OT1
0.0004952368299386829,epi_0$factors2$factor4,OT1
0.0009223821754327169,epi_0$factors$factor0,OT1
0.0007043218044500579,epi_0$factors$factor1,OT1
0.0007551673710395194,epi_0$factors$factor2,OT1
0.000582193230876991,epi_0$factors$factor3,OT1
0.0007134336616819899,epi_0$factors$factor4,OT1
0.0006211918485956851,epi_0$blosum$blosum_A,OT1
0.00038392530168544927,epi_0$blosum$blosum_R,OT1
0.0006361705076428762,epi_0$blosum$blosum_N,OT1
0.0004590325003465736,epi_0$blosum$blosum_D,OT1
0.00024040678810290005,epi_0$blosum$blosum_C,OT1
0.00039594201165571604,epi_0$blosum$blosum_Q,OT1
0.0003889693813828837,epi_0$blosum$blosum_E,OT1
0.0006843720026551328,epi_0$blosum$blosum_G,OT1
0.0004622479191353673,epi_0$blosum$blosum_H,OT1
0.0005082172026314944,epi_0$blosum$blosum_I,OT1
0.0005146169888124707,epi_0$blosum$blosum_L,OT1
0.000453816615243303,epi_0$blosum$blosum_K,OT1
0.00040202118330557,epi_0$blosum$blosum_M,OT1
0.0003132348320741991,epi_0$blosum$blosum_F,OT1
0.00028512184930622116,epi_0$blosum$blosum_P,OT1
0.0007262901126634578,epi_0$blosum$blosum_S,OT1
0.0005160027007267234,epi_0$blosum$blosum_T,OT1
0.00027482071365931193,epi_0$blosum$blosum_W,OT1
0.0003191964854469606,epi_0$blosum$blosum_Y,OT1
0.0006801588458413597,epi_0$chem$hydropathy,OT1
0.0007797073158354677,epi_0$chem$mass,OT1
0.0006606541703217276,epi_0$chem$abundance,OT1
4.216387555315984e-05,epi_0$chem$class_Acid,OT1
9.472740419521438e-05,epi_0$chem$class_Aliphatic,OT1
9.745233699337535e-05,epi_0$chem$class_Amide,OT1
6.444140160767744e-05,epi_0$chem$class_Aromatic,OT1
5.940740358756867e-05,epi_0$chem$class_Basic,OT1
2.715258494212762e-05,epi_0$chem$class_Basic aromatic,OT1
3.799474985139379e-05,epi_0$chem$class_Cyclic,OT1
0.00037078937344147615,epi_0$chem$class_Hydroxylic,OT1
7.020940197621385e-05,epi_0$chem$class_Sulfuric,OT1
4.5869581860833404e-05,epi_0$chem$polarity_Acidic polar,OT1
7.962976125092228e-05,epi_0$chem$polarity_Basic polar,OT1
0.0001941279284982065,epi_0$chem$polarity_Nonpolar,OT1
0.0003303148032117632,epi_0$chem$polarity_Polar,OT1
7.271883244167716e-05,epi_0$chem$charge_Negative,OT1
0.00011042485824243525,epi_0$chem$charge_Neutral,OT1
6.844190634456731e-05,epi_0$chem$charge_Positive,OT1
4.541337603243377e-05,"epi_0$chem$charge_Positive, 10% Neutral, 90%",OT1
6.559697069361183e-05,epi_0$one_hot$is_A,OT1
2.387327615813968e-05,epi_0$one_hot$is_C,OT1
3.837824974884383e-05,epi_0$one_hot$is_D,OT1
2.593770508743501e-05,epi_0$one_hot$is_E,OT1
2.7953853304402155e-05,epi_0$one_hot$is_F,OT1
5.212682319663922e-05,epi_0$one_hot$is_G,OT1
4.560508271424657e-05,epi_0$one_hot$is_H,OT1
4.2276599038452983e-05,epi_0$one_hot$is_I,OT1
2.558041978236951e-05,epi_0$one_hot$is_K,OT1
3.7347762155237325e-05,epi_0$one_hot$is_L,OT1
3.870571177576823e-05,epi_0$one_hot$is_M,OT1
0.0001459347937343263,epi_0$one_hot$is_N,OT1
3.90904156868566e-05,epi_0$one_hot$is_P,OT1
1.7309552866492038e-05,epi_0$one_hot$is_Q,OT1
5.676802565134895e-05,epi_0$one_hot$is_R,OT1
0.0004560182680391346,epi_0$one_hot$is_S,OT1
3.500882781014287e-05,epi_0$one_hot$is_T,OT1
3.221965258378018e-05,epi_0$one_hot$is_V,OT1
2.9391659802806043e-05,epi_0$one_hot$is_W,OT1
8.216807208169207e-05,epi_0$one_hot$is_Y,OT1
0.00016770080681570803,epi_1$factors2$factor0,OT1
0.0001225667361827062,epi_1$factors2$factor1,OT1
0.00010730018836870481,epi_1$factors2$factor2,OT1
6.909233408090459e-05,epi_1$factors2$factor3,OT1
9.313729845039481e-05,epi_1$factors2$factor4,OT1
9.29115161877624e-05,epi_1$factors$factor0,OT1
9.324949771424814e-05,epi_1$factors$factor1,OT1
0.00013734057386885877,epi_1$factors$factor2,OT1
0.00010433230075693812,epi_1$factors$factor3,OT1
0.0001281433399539239,epi_1$factors$factor4,OT1
0.00017415456501550334,epi_1$blosum$blosum_A,OT1
5.090000606324929e-05,epi_1$blosum$blosum_R,OT1
9.901713818250373e-05,epi_1$blosum$blosum_N,OT1
2.786889566417038e-05,epi_1$blosum$blosum_D,OT1
0.00010348867191653857,epi_1$blosum$blosum_C,OT1
7.426956443795805e-05,epi_1$blosum$blosum_Q,OT1
7.516925437299069e-05,epi_1$blosum$blosum_E,OT1
8.038813982435057e-05,epi_1$blosum$blosum_G,OT1
0.00022018687164492985,epi_1$blosum$blosum_H,OT1
0.00019041721823320697,epi_1$blosum$blosum_I,OT1
7.443674771827658e-05,epi_1$blosum$blosum_L,OT1
5.1655715787738095e-05,epi_1$blosum$blosum_K,OT1
7.331806584080235e-05,epi_1$blosum$blosum_M,OT1
6.448386817967725e-05,epi_1$blosum$blosum_F,OT1
3.988867252731778e-05,epi_1$blosum$blosum_P,OT1
4.667319542194326e-05,epi_1$blosum$blosum_S,OT1
4.6221796628637944e-05,epi_1$blosum$blosum_T,OT1
5.398922136045169e-05,epi_1$blosum$blosum_W,OT1
7.221410302649739e-05,epi_1$blosum$blosum_Y,OT1
0.0002800829015073046,epi_1$chem$hydropathy,OT1
0.00020983726528309661,epi_1$chem$mass,OT1
0.0001468901125291748,epi_1$chem$abundance,OT1
2.161216093097386e-06,epi_1$chem$class_Acid,OT1
2.040255433167235e-05,epi_1$chem$class_Aliphatic,OT1
1.558545832335351e-05,epi_1$chem$class_Amide,OT1
1.187302535229883e-05,epi_1$chem$class_Aromatic,OT1
7.652359974945088e-07,epi_1$chem$class_Basic,OT1
1.89294940175987e-05,epi_1$chem$class_Basic aromatic,OT1
1.9508282016624837e-06,epi_1$chem$class_Cyclic,OT1
5.760393525385923e-06,epi_1$chem$class_Hydroxylic,OT1
1.1907045176749258e-05,epi_1$chem$class_Sulfuric,OT1
1.7606979414359007e-06,epi_1$chem$polarity_Acidic polar,OT1
1.1116420887345995e-05,epi_1$chem$polarity_Basic polar,OT1
2.0386457245755498e-05,epi_1$chem$polarity_Nonpolar,OT1
2.6625784676226038e-05,epi_1$chem$polarity_Polar,OT1
3.470548607847813e-06,epi_1$chem$charge_Negative,OT1
7.129885065258315e-06,epi_1$chem$charge_Neutral,OT1
